,hiddenLayerOne,learnRate,hiddenLayerTwo,dropout,epochs,regul,batch,accuracy,AUC,recall,precision,F1,meanAcc,meanRec,meanAUC,meanPrec,meanF1
23,6,0.004,6,0.0,20,0.05,64,[0.83333337 0.77777779 0.75555557 0.81111115 0.76404494],[0.9074074  0.87878788 0.83849794 0.88268715 0.85820901],[0.77777779 0.83333337 0.7352941  0.90909094 0.77272731],[0.56       0.55555558 0.65789473 0.5714286  0.5151515 ],[0.65116279 0.66666667 0.69444444 0.70175439 0.61818182],0.788364565372467,0.8056447029113769,0.8731178760528564,0.57200608253479,0.6664420211911033
24,6,0.004,6,0.05,10,0.0,32,[0.82222223 0.84444445 0.75555557 0.83333337 0.78651685],[0.91743827 0.9191919  0.83482146 0.87199199 0.90400273],[0.66666669 0.875      0.7352941  0.90909094 0.90909094],[0.54545456 0.65625    0.65789473 0.60606062 0.54054058],[0.6        0.75       0.69444444 0.72727273 0.6779661 ],0.8084144949913025,0.8190285325050354,0.8894892692565918,0.6012400984764099,0.6899366546824174
25,6,0.004,6,0.05,20,0.0,32,[0.86666667 0.85555559 0.76666671 0.85555559 0.75280899],[0.93016982 0.90624994 0.83088237 0.90173799 0.87822258],[0.66666669 0.83333337 0.7352941  0.90909094 0.9545455 ],[0.66666669 0.68965518 0.67567569 0.64516127 0.5       ],[0.66666667 0.75471698 0.70422535 0.75471698 0.65625   ],0.8194507122039795,0.8197861194610596,0.8894525408744812,0.6354317665100098,0.7073151962086988
26,6,0.004,6,0.05,10,0.0,64,[0.82222223 0.82222223 0.75555557 0.83333337 0.73033708],[0.88888896 0.94286615 0.8240546  0.90574867 0.86465394],[0.72222221 0.91666669 0.85294116 1.         0.90909094],[0.54166669 0.6111111  0.63043481 0.5945946  0.47619048],[0.61904762 0.73333333 0.725      0.74576271 0.625     ],0.7927340984344482,0.8801841974258423,0.8852424621582031,0.5707995355129242,0.6896287328490718
27,6,0.004,6,0.05,20,0.0,64,[0.78888893 0.85555559 0.75555557 0.82222223 0.76404494],[0.86188269 0.94160354 0.83429617 0.92045462 0.92673004],[0.72222221 0.95833337 0.7352941  0.86363637 1.        ],[0.48148149 0.65714288 0.65789473 0.59375    0.51162791],[0.57777778 0.77966102 0.69444444 0.7037037  0.67692308],0.7972534537315369,0.8558972120285034,0.8969934105873107,0.5803794026374817,0.6865020039596311
28,6,0.004,6,0.05,10,0.05,32,[0.82222223 0.83333337 0.76666671 0.73333335 0.73033708],[0.9124229  0.92329544 0.80514711 0.8101604  0.84464049],[0.83333331 0.95833337 0.82352942 1.         0.90909094],[0.53571433 0.62162161 0.6511628  0.47826087 0.47619048],[0.65217391 0.75409836 0.72727273 0.64705882 0.625     ],0.7771785497665405,0.9048574090003967,0.859133267402649,0.5525900185108185,0.681120764900271
29,6,0.004,6,0.05,20,0.05,32,[0.85555559 0.81111115 0.76666671 0.80000001 0.80898875],[0.92554015 0.91761363 0.83350837 0.90106952 0.9097693 ],[0.77777779 1.         0.7647059  0.90909094 0.81818187],[0.60869569 0.58536589 0.66666669 0.55555558 0.58064514],[0.68292683 0.73846154 0.71232877 0.68965517 0.67924528],0.8084644436836242,0.8539512991905213,0.897500193119049,0.5993857979774475,0.7005235180571561
30,6,0.004,6,0.05,10,0.05,64,[0.80000001 0.84444445 0.72222227 0.62222224 0.77528089],[0.84182096 0.94570708 0.79464287 0.7523396  0.90909094],[0.77777779 0.95833337 0.70588237 0.86363637 0.90909094],[0.5        0.6388889  0.61538464 0.38       0.52631581],[0.60869565 0.76666667 0.65753425 0.52777778 0.66666667],0.7528339743614196,0.8429441690444947,0.8487202882766723,0.5321178674697876,0.6454682019720732
31,6,0.004,6,0.05,20,0.05,64,[0.85555559 0.83333337 0.75555557 0.77777779 0.78651685],[0.91396606 0.90246212 0.83692229 0.86631012 0.87856174],[0.8888889  1.         0.82352942 0.90909094 0.86363637],[0.5925926  0.61538464 0.63636363 0.52631581 0.54285717],[0.71111111 0.76190476 0.71794872 0.66666667 0.66666667],0.8017478346824646,0.8970291256904602,0.8796444654464721,0.5827027678489685,0.7048595848595849
32,6,0.007,5,0.0,10,0.0,32,[0.82222223 0.84444445 0.76666671 0.82222223 0.8202247 ],[0.90779322 0.92771471 0.84558821 0.86831552 0.9206242 ],[0.66666669 0.95833337 0.70588237 0.90909094 0.86363637],[0.54545456 0.6388889  0.6857143  0.58823532 0.59375   ],[0.6        0.76666667 0.69565217 0.71428571 0.7037037 ],0.8151560664176941,0.8207219481468201,0.8940071702003479,0.610408616065979,0.6960616517138256
